Epoch 1, LR 0.001000, Acc 48.54, LOSS 14.715417, avg_closs 1.1491, Acc 51.193
Epoch 2, LR 0.001000, Acc 56.39, LOSS 14.176163, avg_closs 1.0889, Acc 56.065
Epoch 3, LR 0.001000, Acc 62.41, LOSS 13.898779, avg_closs 1.0129, Acc 59.297
Epoch 4, LR 0.001000, Acc 66.66, LOSS 13.642754, avg_closs 0.9940, Acc 61.653
Epoch 5, LR 0.001000, Acc 70.33, LOSS 13.458897, avg_closs 0.9526, Acc 61.653
Epoch 6, LR 0.000900, Acc 73.28, LOSS 13.315391, avg_closs 0.9571, Acc 63.096
Epoch 7, LR 0.000900, Acc 75.60, LOSS 13.224648, avg_closs 0.9549, Acc 62.255
Epoch 8, LR 0.000900, Acc 78.14, LOSS 13.126535, avg_closs 0.9203, Acc 62.900
Epoch 9, LR 0.000900, Acc 80.32, LOSS 13.040483, avg_closs 0.9466, Acc 64.057
Epoch 10, LR 0.000900, Acc 81.82, LOSS 12.964747, avg_closs 0.9478, Acc 65.130
Epoch 11, LR 0.000810, Acc 84.05, LOSS 12.860590, avg_closs 0.9728, Acc 63.055
Epoch 12, LR 0.000810, Acc 85.26, LOSS 12.803828, avg_closs 0.9816, Acc 63.627
Epoch 13, LR 0.000810, Acc 86.39, LOSS 12.749954, avg_closs 1.0615, Acc 60.776
Epoch 14, LR 0.000810, Acc 88.03, LOSS 12.675304, avg_closs 1.0129, Acc 65.178
Epoch 15, LR 0.000810, Acc 88.67, LOSS 12.636573, avg_closs 0.9953, Acc 65.297
Epoch 16, LR 0.000729, Acc 90.12, LOSS 12.568736, avg_closs 1.0596, Acc 63.377
Epoch 17, LR 0.000729, Acc 90.94, LOSS 12.523107, avg_closs 0.9750, Acc 66.466
Epoch 18, LR 0.000729, Acc 91.57, LOSS 12.482243, avg_closs 0.9862, Acc 65.983
Epoch 19, LR 0.000729, Acc 92.24, LOSS 12.447147, avg_closs 1.0276, Acc 68.112
Epoch 20, LR 0.000729, Acc 92.80, LOSS 12.413198, avg_closs 1.0009, Acc 68.130
Epoch 21, LR 0.000656, Acc 93.42, LOSS 12.367934, avg_closs 1.0190, Acc 66.394
Epoch 22, LR 0.000656, Acc 94.15, LOSS 12.335581, avg_closs 1.0807, Acc 65.094
Epoch 23, LR 0.000656, Acc 94.25, LOSS 12.316515, avg_closs 1.0222, Acc 67.581
Epoch 24, LR 0.000656, Acc 94.66, LOSS 12.287825, avg_closs 1.0918, Acc 65.577
Epoch 25, LR 0.000656, Acc 94.91, LOSS 12.272118, avg_closs 1.0797, Acc 65.720
Epoch 26, LR 0.000590, Acc 95.57, LOSS 12.226615, avg_closs 1.1534, Acc 64.569
Epoch 27, LR 0.000590, Acc 95.61, LOSS 12.218943, avg_closs 1.0809, Acc 67.074
Epoch 28, LR 0.000590, Acc 95.92, LOSS 12.196194, avg_closs 1.0671, Acc 68.076
Epoch 29, LR 0.000590, Acc 96.07, LOSS 12.183878, avg_closs 1.1766, Acc 65.434
Epoch 30, LR 0.000590, Acc 96.37, LOSS 12.165533, avg_closs 1.1130, Acc 66.293
Epoch 31, LR 0.000531, Acc 96.48, LOSS 12.142122, avg_closs 1.1648, Acc 66.931
Epoch 32, LR 0.000531, Acc 96.79, LOSS 12.121604, avg_closs 1.1431, Acc 67.611
Epoch 33, LR 0.000531, Acc 96.99, LOSS 12.112488, avg_closs 1.1061, Acc 67.402
Epoch 34, LR 0.000531, Acc 97.06, LOSS 12.097512, avg_closs 1.1702, Acc 67.271
Epoch 35, LR 0.000531, Acc 97.09, LOSS 12.095709, avg_closs 1.0678, Acc 68.672
Epoch 36, LR 0.000478, Acc 97.36, LOSS 12.071087, avg_closs 1.1867, Acc 66.013
Epoch 37, LR 0.000478, Acc 97.74, LOSS 12.047821, avg_closs 1.1872, Acc 67.736
Epoch 38, LR 0.000478, Acc 97.53, LOSS 12.048308, avg_closs 1.2303, Acc 66.836
Epoch 39, LR 0.000478, Acc 97.72, LOSS 12.039780, avg_closs 1.1750, Acc 67.229
Epoch 40, LR 0.000478, Acc 97.68, LOSS 12.037376, avg_closs 1.1781, Acc 66.663
Epoch 41, LR 0.000430, Acc 98.01, LOSS 12.016038, avg_closs 1.1172, Acc 69.000
Epoch 42, LR 0.000430, Acc 98.00, LOSS 12.007875, avg_closs 1.1097, Acc 68.142
Epoch 43, LR 0.000430, Acc 98.30, LOSS 11.988787, avg_closs 1.1917, Acc 67.325
Epoch 44, LR 0.000430, Acc 98.16, LOSS 11.996476, avg_closs 1.1974, Acc 67.408
Epoch 45, LR 0.000430, Acc 98.36, LOSS 11.984267, avg_closs 1.2330, Acc 66.824
Epoch 46, LR 0.000387, Acc 98.29, LOSS 11.974734, avg_closs 1.2544, Acc 67.760
Epoch 47, LR 0.000387, Acc 98.31, LOSS 11.972582, avg_closs 1.2349, Acc 66.543
Epoch 48, LR 0.000387, Acc 98.36, LOSS 11.966784, avg_closs 1.2481, Acc 66.424
Epoch 49, LR 0.000387, Acc 98.52, LOSS 11.957616, avg_closs 1.2318, Acc 66.543
